Date,Total_Cases,Total_Deaths,confirmed_cases,deaths
3/10/2020,11,0,20,0
3/11/2020,13,0,25,0
3/12/2020,21,0,32,0
3/13/2020,32,0,46,0
3/14/2020,31,0,64,0
3/15/2020,40,0,93,0
3/16/2020,78,1,105,0
3/17/2020,96,1,160,1
3/18/2020,162,1,288,3
3/19/2020,183,2,422,4
3/20/2020,155,0,585,5
3/21/2020,125,2,753,6
3/22/2020,168,2,1046,9
3/23/2020,290,3,1283,12
3/24/2020,350,2,1535,16
3/25/2020,367,5,1865,19
3/26/2020,413,2,2538,26
3/27/2020,404,8,3026,34
3/28/2020,248,4,3491,47
3/29/2020,282,20,4596,65
3/30/2020,439,12,5056,72
3/31/2020,490,16,5994,99
4/1/2020,462,24,6980,141
4/2/2020,437,15,7695,157
4/3/2020,467,24,8904,210
4/4/2020,327,22,10357,243
4/5/2020,292,26,11256,274
4/6/2020,583,22,12262,307
4/7/2020,556,25,13549,380
4/8/2020,705,36,15078,462
4/9/2020,576,25,16422,528
4/10/2020,571,32,17887,596
4/11/2020,397,33,19180,677
4/12/2020,341,33,20852,720
4/13/2020,694,33,22025,794
4/14/2020,666,33,23247,868
4/15/2020,632,31,24593,948
4/16/2020,679,31,25733,1072
4/17/2020,777,43,27575,1134
4/18/2020,535,39,29160,1259
4/19/2020,459,35,30357,1290
4/20/2020,990,40,31508,1349
4/21/2020,875,36,33059,1468
4/22/2020,1057,45,35108,1565
4/23/2020,1467,36,36934,1688
4/24/2020,1076,54,39658,1795
4/25/2020,632,38,41777,1874
4/26/2020,434,51,43903,1933
4/27/2020,1158,35,45883,1983
4/28/2020,1324,56,48102,2125
4/29/2020,1152,44,50355,2215
4/30/2020,1271,40,52918,2355
5/1/2020,1168,39,56055,2457
5/2/2020,719,49,58505,2559
5/3/2020,468,45,61499,2618
5/4/2020,1120,48,63840,2662
5/5/2020,1090,58,65962,2838
5/6/2020,973,44,68232,2974
5/7/2020,938,49,70873,3111
5/8/2020,923,44,73760,3241
5/9/2020,520,53,76085,3349
5/10/2020,307,38,77741,3406
5/11/2020,1017,38,79007,3459
5/12/2020,942,46,83021,3601
5/13/2020,875,45,84698,3792
5/14/2020,775,45,87937,3928
5/15/2020,970,49,90369,4058
5/16/2020,514,28,92457,4129
5/17/2020,326,41,94191,4177
5/18/2020,945,33,96485,4234
5/19/2020,891,27,98030,4379
5/20/2020,771,29,100418,4525
5/21/2020,800,34,102686,4607
5/22/2020,724,36,105444,4715
5/23/2020,327,30,107796,4789
5/24/2020,279,27,110304,4853
5/25/2020,252,23,112017,4884
5/26/2020,755,23,113195,4923
5/27/2020,615,26,114306,5082
5/28/2020,523,22,115833,5186
5/29/2020,460,20,117455,5270
5/30/2020,238,21,118917,5330
5/31/2020,121,22,120260,5389
6/1/2020,235,21,121234,5412
6/2/2020,244,25,122848,5524
6/3/2020,280,20,123830,5620
6/4/2020,319,15,124759,5736
6/5/2020,339,17,125915,5792
6/6/2020,170,20,126890,5861
6/7/2020,110,20,127757,5901
6/8/2020,274,15,128415,5923
6/9/2020,254,23,129212,6017
6/10/2020,233,12,129837,6094
6/11/2020,203,10,130603,6183
6/12/2020,248,21,131198,6260
6/13/2020,121,18,131871,6289
6/14/2020,92,12,132543,6307
6/15/2020,235,20,133016,6326
6/16/2020,211,11,133639,6398
6/17/2020,219,21,134185,6482
6/18/2020,184,14,134778,6536
6/19/2020,220,15,135470,6580
6/20/2020,125,10,136104,6624
6/21/2020,48,11,136762,6645
6/22/2020,218,9,137224,6669
6/23/2020,234,8,137825,6706
6/24/2020,245,9,138540,6769
6/25/2020,249,11,139434,6808
6/26/2020,220,13,140291,6847
6/27/2020,130,5,141077,6873
6/28/2020,110,5,141723,6888
6/29/2020,280,7,142461,6900
6/30/2020,265,3,143185,6921
7/1/2020,266,13,144013,6951
7/2/2020,256,6,144882,6987
7/3/2020,176,5,145750,7004
7/4/2020,63,5,146612,7014
7/5/2020,89,3,147251,7020
7/6/2020,283,5,147865,7026
7/7/2020,342,4,148452,7063
7/8/2020,309,4,149432,7099
7/9/2020,288,8,150450,7119
7/10/2020,345,6,151767,7144
7/11/2020,153,2,152962,7167
7/12/2020,97,4,153916,7187
7/13/2020,337,3,154799,7193
7/14/2020,324,3,155506,7218
7/15/2020,268,7,156693,7226
7/16/2020,297,2,157950,7250
7/17/2020,326,3,159334,7272
7/18/2020,132,4,160610,7289
7/19/2020,100,2,161575,7295
7/20/2020,393,5,162748,7301
7/21/2020,291,1,163703,7324
7/22/2020,365,4,165301,7347
7/23/2020,319,3,166925,7366
7/24/2020,347,3,168457,7385
7/25/2020,156,8,169883,7397
7/26/2020,97,6,171424,7398
7/27/2020,362,1,172655,7416
7/28/2020,332,3,173731,7446
7/29/2020,446,3,175124,7460
7/30/2020,341,3,176896,7474
7/31/2020,392,2,178837,7495
8/1/2020,141,5,180476,7503
8/2/2020,96,3,181943,7516
8/3/2020,428,3,183241,7526
8/4/2020,369,2,184712,7543
8/5/2020,378,4,186471,7573
8/6/2020,349,4,188424,7592
8/7/2020,418,2,190508,7613
8/8/2020,177,3,192698,7628
8/9/2020,115,2,194080,7636
8/10/2020,376,1,195399,7637
8/11/2020,384,4,196948,7656
8/12/2020,433,2,198593,7672
8/13/2020,391,4,200427,7696
8/14/2020,347,3,202691,7721
8/15/2020,220,5,204519,7726
8/16/2020,120,3,206081,7744
8/17/2020,493,3,207854,7756
8/18/2020,412,1,209594,7781
8/19/2020,485,5,211889,7806
8/20/2020,423,3,213721,7833
8/21/2020,432,5,215929,7857
8/22/2020,191,2,218285,7874
8/23/2020,129,1,220178,7880
8/24/2020,556,3,221790,7888
8/25/2020,413,4,223470,7917
8/26/2020,388,3,225627,7953
8/27/2020,383,2,227334,7977
8/28/2020,382,4,229483,7997
8/29/2020,234,4,231363,8008
8/30/2020,100,5,233355,8019
8/31/2020,413,2,235023,8025
9/1/2020,331,3,236515,8064
9/2/2020,406,3,238643,8090
9/3/2020,341,3,240003,8114
9/4/2020,397,2,245371,8143
9/5/2020,203,3,248177,8166
9/6/2020,143,2,249580,8171
9/7/2020,72,1,250961,8179
9/8/2020,368,1,252353,8184
9/9/2020,401,5,253690,8214
9/10/2020,329,2,255643,8241
9/11/2020,343,5,257788,8273
9/12/2020,136,0,259909,8295
9/13/2020,124,3,261371,8309
9/14/2020,430,3,262744,8312
9/15/2020,353,1,264210,8332
9/16/2020,366,4,266151,8367
9/17/2020,393,0,268207,8391
9/18/2020,358,4,270327,8411
9/19/2020,170,2,272856,8436
9/20/2020,109,6,274258,8450
9/21/2020,421,2,275735,8456
9/22/2020,351,2,277266,8486
9/23/2020,391,6,279114,8508
9/24/2020,409,5,281371,8538
9/25/2020,380,3,283885,8563
9/26/2020,233,4,286326,8587
9/27/2020,168,1,287930,8601
9/28/2020,420,2,289639,8614
9/29/2020,381,6,291001,8637
9/30/2020,464,2,293274,8671
10/1/2020,364,4,295440,8696
10/2/2020,415,3,297646,8743
10/3/2020,226,3,300088,8774
10/4/2020,152,5,301541,8791
10/5/2020,553,3,303394,8804
10/6/2020,559,2,305011,8836
10/7/2020,549,1,307641,8878
10/8/2020,610,3,310700,8910
10/9/2020,668,4,313518,8944
