Date,Total_Cases,Total_Deaths,Total_Hospitalizations,Cases_Ages_0to17,Cases_Ages_18to29,Cases_Ages_30to39,Cases_Ages_40to49,Cases_Ages_50to59,Cases_Ages_60to69,Cases_Ages_70to79,Cases_Age_80andAbove,Cases_Ages_Unknown,Cases_Female,Cases_Male,Cases_Unknown_Gender,Cases_Latinx,Cases_Asian_NonLatinx,Cases_Black_NonLatinx,Cases_White_NonLatinx,Cases_OtherRace_NonLatinx,Cases_UnknownRace_Ethnicity,Deaths_Ages_0to17,Deaths_Ages_18to29,Deaths_Ages_30to39,Deaths_Ages_40to49,Deaths_Ages_50to59,Deaths_Ages_60to69,Deaths_Ages_70to79,Deaths_Ages_80+,Deaths_Ages_Unknown,Deaths_Female,Deaths_Male,Deaths_Unknown_Gender,Deaths_Latinx,Deaths_Asian_NonLatinx,Deaths_Black_NonLatinx,Deaths_White_NonLatinx,Deaths_OtherRace_NonLatinx,Deaths_UnknownRace_Ethnicity,Hospitalizations_Ages_0to17,Hospitalizations_Ages_18to29,Hospitalizations_Ages_30to39,Hospitalizations_Ages_40to49,Hospitalizations_Ages_50to59,Hospitalizations_Ages_60to69,Hospitalizations_Ages_70to79,Hospitalizations_Ages_80+,Hospitalizations_Ages_Unknown,Hospitalizations_Female,Hospitalizations_Male,Hospitalizations_Unknown_Gender,Hospitalizations_Latinx,Hospitalizations_Asian_NonLatinx,Hospitalizations_Black_NonLatinx,Hospitalizations_White_NonLatinx,Hospitalizations_Other_Race NonLatinx,Hospitalizations_UnknownRace_Ethnicity
11/19/2021,685,1,40,174,120,150,96,64,48,24,9,0,364,321,0,125,20,136,208,63,133,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,5,5,4,6,11,6,0,17,23,0,9,1,18,9,2,1
3/13/2021,259,2,16,29,66,62,43,32,20,4,3,0,132,127,0,69,3,53,96,16,22,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,1,3,4,5,1,0,9,7,0,3,0,9,3,1,0
11/14/2020,1400,16,104,168,320,277,239,173,126,76,21,0,713,686,1,438,55,243,418,62,184,0,0,0,2,1,5,6,2,0,7,9,0,6,0,7,3,0,0,3,4,6,14,20,17,28,12,0,48,56,0,34,2,34,27,6,1
10/20/2021,323,5,13,68,87,52,41,31,28,11,5,0,146,175,2,71,17,76,101,16,42,0,0,0,1,2,0,1,1,0,1,4,0,2,0,2,1,0,0,0,0,1,0,3,4,2,3,0,7,6,0,2,0,7,2,1,1
4/19/2021,661,7,54,120,162,140,123,72,33,9,2,0,358,303,0,172,33,231,136,29,60,0,0,1,0,1,2,0,3,0,3,4,0,2,0,4,1,0,0,2,5,2,10,20,7,4,4,0,25,29,0,7,1,31,11,1,3
4/15/2021,639,9,64,143,160,138,82,52,37,17,10,0,330,309,0,191,16,216,152,19,45,0,0,1,2,1,2,2,1,0,1,8,0,2,0,6,1,0,0,1,4,7,7,10,18,12,5,0,34,30,0,12,2,34,12,3,1
3/23/2022,306,0,2,58,66,87,34,33,17,9,2,0,182,120,4,41,18,32,147,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
10/14/2020,850,3,28,75,246,215,135,90,62,19,8,0,459,389,2,362,24,139,226,26,73,0,0,0,0,0,0,1,2,0,2,1,0,1,0,0,2,0,0,1,3,0,4,5,5,6,4,0,12,16,0,5,0,12,8,1,2
3/26/2020,413,2,132,2,65,74,78,96,53,36,9,0,181,232,0,82,14,201,98,10,8,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,7,11,23,25,26,28,12,0,57,75,0,27,1,81,19,4,0
8/15/2020,220,5,21,18,64,41,30,34,20,11,2,0,106,112,2,80,6,55,62,7,10,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,1,4,2,0,5,3,5,1,0,10,11,0,7,0,10,3,1,0
12/11/2020,1670,28,110,235,380,311,266,225,136,79,38,0,864,805,1,648,65,321,367,67,202,0,0,0,0,2,7,9,10,0,11,17,0,9,1,10,6,2,0,2,5,9,9,21,19,32,13,0,53,57,0,36,2,38,28,5,1
9/30/2021,463,7,28,117,105,92,48,46,29,19,7,0,239,222,2,75,13,136,156,40,43,0,0,0,0,3,0,1,3,0,4,3,0,1,0,6,0,0,0,1,0,2,5,4,5,7,4,0,18,10,0,2,0,16,10,0,0
3/7/2021,173,4,14,16,42,39,33,24,11,5,3,0,83,90,0,48,16,28,62,11,8,0,0,0,0,1,1,0,2,0,2,2,0,0,0,2,2,0,0,1,0,2,1,3,0,3,4,0,7,7,0,9,1,2,2,0,0
11/28/2020,1373,17,117,158,326,257,218,200,129,55,30,0,696,674,3,583,50,214,308,50,168,0,0,1,0,4,3,4,5,0,9,8,0,6,0,7,4,0,0,2,7,8,11,18,24,24,23,0,52,65,0,37,3,43,24,4,6
3/19/2021,441,2,31,64,145,106,49,37,21,13,6,0,220,221,0,125,28,92,144,17,35,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,3,3,4,4,7,5,4,0,16,15,0,10,0,16,5,0,0
12/12/2020,915,21,79,110,215,178,135,124,90,45,18,0,467,445,3,334,32,156,261,28,104,0,0,0,0,2,5,5,9,0,10,11,0,3,2,9,7,0,0,1,2,5,7,18,18,17,11,0,37,42,0,16,5,39,15,3,1
12/18/2021,2685,8,114,420,811,632,380,230,120,66,26,0,1443,1220,22,328,103,771,769,228,486,0,0,0,0,1,4,2,1,0,1,7,0,2,0,3,3,0,0,10,13,9,17,16,26,16,7,0,54,60,0,24,1,65,18,0,6
10/26/2021,345,3,18,92,63,70,45,39,24,8,4,0,181,163,1,69,11,90,105,24,46,0,0,0,0,1,0,0,2,0,2,1,0,0,1,2,0,0,0,1,1,4,3,3,2,3,1,0,9,9,0,3,0,9,5,0,1
2/15/2022,355,3,21,93,79,70,29,34,23,12,15,0,207,144,4,70,24,50,120,18,73,0,0,0,0,0,0,1,2,0,0,3,0,0,0,1,2,0,0,1,1,1,0,2,6,2,8,0,11,10,0,9,0,2,9,1,0
2/20/2022,113,4,12,17,28,15,24,10,10,5,4,0,52,61,0,20,9,21,40,7,16,0,0,0,0,2,1,0,1,0,2,2,0,1,0,0,3,0,0,2,1,1,1,1,3,3,0,0,5,7,0,4,0,6,2,0,0
1/25/2022,1373,20,70,412,261,228,169,123,107,48,25,0,735,630,8,325,86,215,413,83,251,0,0,0,1,5,2,3,9,0,11,9,0,6,0,9,4,1,0,3,5,7,11,6,17,10,11,0,38,32,0,15,1,29,23,0,2
9/26/2020,233,4,19,26,66,50,32,40,11,7,1,0,105,128,0,104,6,17,74,14,18,0,0,1,0,1,1,0,1,0,1,3,0,2,0,1,1,0,0,0,2,5,1,6,1,3,1,0,13,6,0,6,0,4,7,1,1
2/5/2021,403,8,48,49,101,73,52,54,36,22,16,0,205,197,1,127,24,83,105,21,43,0,0,1,0,1,3,0,3,0,4,4,0,3,0,4,1,0,0,1,2,5,7,5,9,9,10,0,29,19,0,13,2,24,8,1,0
6/5/2020,337,17,42,33,75,70,50,51,30,18,10,0,172,165,0,198,4,55,38,10,32,0,0,0,0,3,1,9,4,0,10,7,0,5,0,7,5,0,0,0,6,5,5,8,6,9,3,0,20,22,0,18,0,15,4,2,3
3/9/2021,333,5,22,42,109,61,37,40,20,12,12,0,166,166,1,79,16,65,104,28,41,0,0,0,0,3,0,1,1,0,4,1,0,1,0,3,1,0,0,1,1,3,4,4,3,5,1,0,13,9,0,7,1,9,3,2,0
8/26/2021,594,3,44,99,138,135,77,54,39,35,17,0,318,276,0,114,28,180,164,15,93,0,0,0,0,1,0,0,2,0,2,1,0,1,0,2,0,0,0,2,1,5,5,7,8,11,5,0,25,19,0,5,1,22,14,0,2
12/6/2020,708,27,91,72,160,128,111,99,72,48,18,0,374,332,2,224,29,151,197,22,85,0,0,0,2,2,3,8,12,0,11,16,0,9,3,7,6,1,1,2,7,5,8,12,18,18,21,0,47,44,0,28,1,37,22,2,1
4/18/2021,316,7,54,44,71,78,45,44,18,9,7,0,173,143,0,63,12,133,70,11,27,0,0,0,0,4,0,1,2,0,5,2,0,3,1,3,0,0,0,2,6,4,9,17,9,4,3,0,27,27,0,7,0,37,9,1,0
2/19/2021,319,8,32,46,83,63,41,43,13,16,14,0,164,154,1,97,13,58,85,24,42,0,1,0,1,0,1,3,2,0,2,6,0,2,0,5,1,0,0,0,3,5,2,3,5,3,11,0,15,17,0,7,2,16,5,1,1
10/21/2020,1182,6,60,116,381,247,176,130,84,32,16,0,614,568,0,445,31,182,359,58,107,0,0,0,0,0,0,0,6,0,4,2,0,2,0,1,2,1,0,2,5,10,6,8,16,8,5,0,29,31,0,21,0,24,13,2,0
2/3/2022,525,18,39,137,105,107,51,53,31,29,11,1,265,254,6,123,30,83,169,27,93,0,1,0,2,2,5,2,6,0,9,9,0,5,0,8,4,1,0,0,3,4,3,8,6,11,4,0,24,15,0,16,0,14,7,2,0
3/16/2022,233,2,15,51,53,56,31,21,12,8,0,1,108,122,3,35,12,27,107,20,32,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,3,2,2,1,0,1,6,0,0,10,5,0,1,0,7,6,0,1
11/21/2020,1264,18,99,160,295,248,194,161,115,60,31,0,640,623,1,443,53,215,346,57,150,0,0,0,0,3,4,4,7,0,8,10,0,6,2,7,3,0,0,3,6,12,16,9,16,17,20,0,42,57,0,28,3,39,23,3,3
6/1/2020,233,21,63,21,50,35,32,35,17,17,26,0,137,96,0,96,8,57,46,8,18,0,0,0,1,2,4,4,10,0,12,9,0,6,1,10,4,0,0,2,3,11,7,9,7,11,13,0,28,35,0,19,1,29,13,0,1
12/23/2021,7055,16,148,982,1957,1666,1043,726,427,160,92,2,3858,3100,97,1003,223,2006,1866,629,1328,0,0,1,0,3,5,3,4,0,7,9,0,2,0,6,8,0,0,5,21,10,12,27,27,23,23,0,84,64,0,31,0,87,22,6,2
7/31/2021,269,5,29,34,73,63,39,22,19,11,8,0,142,126,1,60,11,77,84,9,28,0,1,1,0,1,0,1,1,0,2,3,0,1,0,4,0,0,0,1,4,5,7,3,5,2,2,0,15,14,0,5,1,17,5,0,1
8/6/2021,466,5,27,67,136,125,51,42,26,15,4,0,224,242,0,102,23,119,141,17,64,1,0,1,0,0,0,1,2,0,1,4,0,1,0,3,1,0,0,2,3,5,5,7,2,3,0,0,13,14,0,6,0,17,4,0,0
8/23/2021,645,2,53,124,141,141,80,67,54,26,12,0,337,307,1,159,20,171,172,28,95,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,2,5,6,4,10,13,9,4,0,30,23,0,14,0,27,10,0,2
2/20/2021,213,9,18,35,57,30,29,33,13,8,8,0,106,107,0,64,8,41,68,17,15,0,0,0,1,0,0,5,3,0,5,4,0,3,1,3,2,0,0,1,1,0,2,1,4,2,7,0,10,8,0,3,0,10,3,2,0
10/7/2020,548,1,26,59,163,117,85,63,34,18,9,0,269,278,1,213,11,76,174,21,53,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,4,3,6,4,3,0,13,13,0,8,0,9,8,0,1
11/29/2020,898,17,93,105,216,191,130,115,77,41,23,0,451,444,3,269,31,172,252,41,133,0,0,0,0,2,5,7,3,0,2,15,0,7,1,8,1,0,0,1,2,13,10,16,22,15,14,0,40,53,0,32,5,33,17,4,2
1/12/2021,1089,12,56,139,288,191,150,132,105,50,34,0,567,522,0,383,52,227,272,47,108,0,0,0,0,4,3,4,1,0,4,8,0,4,1,5,2,0,0,0,11,7,1,5,11,13,8,0,24,32,0,19,1,28,6,2,0
4/13/2021,678,4,52,81,200,141,112,89,30,13,12,0,370,307,1,171,26,230,168,17,66,0,0,0,0,1,0,1,2,0,0,4,0,0,0,3,1,0,0,0,6,7,5,14,6,8,6,0,29,23,0,6,4,34,7,1,0
9/8/2020,369,1,21,36,120,80,55,40,23,10,5,0,181,188,0,192,11,45,97,4,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,2,4,4,4,0,7,14,0,11,0,5,4,0,1
4/6/2021,857,4,67,134,234,185,125,90,56,18,15,0,439,417,1,233,65,246,211,29,73,0,0,0,0,1,3,0,0,0,0,4,0,3,0,1,0,0,0,0,2,8,10,17,14,8,8,0,29,38,0,12,2,41,7,3,2
10/15/2021,315,1,20,87,59,61,32,29,27,10,10,0,152,161,2,63,13,66,115,24,34,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,1,4,5,4,0,8,12,0,3,1,9,7,0,0
9/3/2021,511,6,45,122,129,96,76,35,24,20,9,0,244,266,1,103,24,131,131,27,95,0,0,0,2,0,1,2,1,0,3,3,0,2,0,4,0,0,0,3,4,6,8,8,6,8,2,0,19,26,0,14,0,20,8,0,3
