testDate,total_tested,confirmed_cases,deaths,tested_change,cases_change,deaths_change
3/10/2020 0:00,326,20,0,326,20,0
3/11/2020 0:00,367,25,0,41,5,0
3/12/2020 0:00,418,32,0,51,7,0
3/13/2020 0:00,444,46,0,26,14,0
3/14/2020 0:00,708,64,0,264,18,0
3/15/2020 0:00,932,93,0,224,29,0
3/16/2020 0:00,1143,105,0,211,12,0
3/17/2020 0:00,1500,160,1,357,55,1
3/18/2020 0:00,2052,288,3,552,128,2
3/19/2020 0:00,3151,422,4,1099,134,1
3/20/2020 0:00,4286,585,5,1135,163,1
3/21/2020 0:00,6247,753,6,1961,168,1
3/22/2020 0:00,8374,1046,9,2127,293,3
3/23/2020 0:00,9868,1283,12,1494,237,3
3/24/2020 0:00,11485,1535,16,1617,252,4
3/25/2020 0:00,14209,1865,19,2724,330,3
3/26/2020 0:00,16631,2538,26,2422,673,7
3/27/2020 0:00,21542,3026,34,4911,488,8
3/28/2020 0:00,25429,3491,47,3887,465,13
3/29/2020 0:00,27762,4596,65,2333,1105,18
3/30/2020 0:00,30446,5056,72,2684,460,7
3/31/2020 0:00,35225,5994,99,4779,938,27
4/1/2020 0:00,40384,6980,141,5159,986,42
4/2/2020 0:00,43656,7695,157,3272,715,16
4/3/2020 0:00,48048,8904,210,4392,1209,53
4/4/2020 0:00,53581,10357,243,5533,1453,33
4/5/2020 0:00,58983,11256,274,5402,899,31
4/6/2020 0:00,62942,12262,307,3959,1006,33
4/7/2020 0:00,68732,13549,380,5790,1287,73
4/8/2020 0:00,75066,15078,462,6334,1529,82
4/9/2020 0:00,80857,16422,528,5791,1344,66
4/10/2020 0:00,87527,17887,596,6670,1465,68
4/11/2020 0:00,92779,19180,677,5252,1293,81
4/12/2020 0:00,100735,20852,720,7956,1672,43
4/13/2020 0:00,105768,22025,794,5033,1173,74
4/14/2020 0:00,110616,23247,868,4848,1222,74
4/15/2020 0:00,116929,24593,948,6313,1346,80
4/16/2020 0:00,122589,25733,1072,5660,1140,124
4/17/2020 0:00,130163,27575,1134,7574,1842,62
4/18/2020 0:00,137404,29160,1259,7241,1585,125
4/19/2020 0:00,143318,30357,1290,5914,1197,31
4/20/2020 0:00,148358,31508,1349,5040,1151,59
4/21/2020 0:00,154997,33059,1468,6639,1551,119
4/22/2020 0:00,164346,35108,1565,9349,2049,97
4/23/2020 0:00,173508,36934,1688,9162,1826,123
4/24/2020 0:00,189632,39658,1795,16124,2724,107
4/25/2020 0:00,201617,41777,1874,11985,2119,79
4/26/2020 0:00,214952,43903,1933,13335,2126,59
4/27/2020 0:00,227628,45883,1983,12676,1980,50
4/28/2020 0:00,242189,48102,2125,14561,2219,142
4/29/2020 0:00,256667,50355,2215,14478,2253,90
4/30/2020 0:00,269867,52918,2355,13200,2563,140
5/1/2020 0:00,284688,56055,2457,14821,3137,102
5/2/2020 0:00,299896,58505,2559,15208,2450,102
5/3/2020 0:00,319313,61499,2618,19417,2994,59
5/4/2020 0:00,333147,63840,2662,13834,2341,44
5/5/2020 0:00,346286,65962,2838,13139,2122,176
5/6/2020 0:00,361260,68232,2974,14974,2270,136
5/7/2020 0:00,379043,70873,3111,17783,2641,137
5/8/2020 0:00,399714,73760,3241,20671,2887,130
5/9/2020 0:00,416331,76085,3349,16617,2325,108
5/10/2020 0:00,429984,77741,3406,13653,1656,57
5/11/2020 0:00,442425,79007,3459,12441,1266,53
5/12/2020 0:00,471691,83021,3601,29266,4014,142
5/13/2020 0:00,489359,84698,3792,17668,1677,191
5/14/2020 0:00,512037,87937,3928,22678,3239,136
5/15/2020 0:00,538602,90369,4058,26565,2432,130
5/16/2020 0:00,561649,92457,4129,23047,2088,71
5/17/2020 0:00,581944,94191,4177,20295,1734,48
5/18/2020 0:00,603241,96485,4234,21297,2294,57
5/19/2020 0:00,621684,98030,4379,18443,1545,145
5/20/2020 0:00,642713,100418,4525,21029,2388,146
5/21/2020 0:00,672020,102686,4607,29307,2268,82
5/22/2020 0:00,697133,105444,4715,25113,2758,108
5/23/2020 0:00,722247,107796,4789,25114,2352,74
5/24/2020 0:00,747921,110304,4853,25674,2508,64
5/25/2020 0:00,769564,112017,4884,21643,1713,31
5/26/2020 0:00,786794,113195,4923,17230,1178,39
5/27/2020 0:00,803973,114306,5082,17179,1111,159
5/28/2020 0:00,829966,115833,5186,25993,1527,104
5/29/2020 0:00,851762,117455,5270,21796,1622,84
5/30/2020 0:00,877105,118917,5330,25343,1462,60
5/31/2020 0:00,898259,120260,5389,21154,1343,59
6/1/2020 0:00,918273,121234,5412,20014,974,23
6/2/2020 0:00,934704,122848,5524,16431,1614,112
6/3/2020 0:00,959175,123830,5620,24471,982,96
6/4/2020 0:00,982016,124759,5736,22841,929,116
6/5/2020 0:00,1000919,125915,5792,18903,1156,56
6/6/2020 0:00,1022074,126890,5861,21155,975,69
6/7/2020 0:00,1042774,127757,5901,20700,867,40
6/8/2020 0:00,1058873,128415,5923,16099,658,22
6/9/2020 0:00,1079182,129212,6017,20309,797,94
6/10/2020 0:00,1100002,129837,6094,20820,625,77
6/11/2020 0:00,1122327,130603,6183,22325,766,89
6/12/2020 0:00,1147101,131198,6260,24774,595,77
6/13/2020 0:00,1168945,131871,6289,21844,673,29
6/14/2020 0:00,1190985,132543,6307,22040,672,18
6/15/2020 0:00,1209612,133016,6326,18627,473,19
6/16/2020 0:00,1228341,133639,6398,18729,623,72
6/17/2020 0:00,1258328,134185,6482,29987,546,84
6/18/2020 0:00,1283832,134778,6536,25504,593,54
6/19/2020 0:00,1311003,135470,6580,27171,692,44
6/20/2020 0:00,1336968,136104,6624,25965,634,44
6/21/2020 0:00,1360784,136762,6645,23816,658,21
6/22/2020 0:00,1379003,137224,6669,18219,462,24
6/23/2020 0:00,1399510,137825,6706,20507,601,37
6/24/2020 0:00,1428841,138540,6769,29331,715,63
6/25/2020 0:00,1460527,139434,6808,31686,894,39
